Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),ValueCo2EmissionsKtByCountry,GdpGrowth,GdpPerCapita,Density_per_n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2000,1.613591,6.2,44.99,0.16,0,0.31,65.95744,302.59482,1.64,760,3.441610057,13283.77435,60,652230,33.93911,67.709953
Afghanistan,2001,4.074574,7.2,45.6,0.09,0,0.5,84.745766,236.89185,1.74,730,3.441610057,13283.77435,60,652230,33.93911,67.709953
Afghanistan,2002,9.409158,8.2,37.83,0.13,0,0.56,81.159424,210.86215,1.4,1029.999971,3.441610057,179.4265792,60,652230,33.93911,67.709953
Afghanistan,2003,14.738506,9.5,36.66,0.31,0,0.63,67.02128,229.96822,1.4,1220.000029,8.832277813,190.6838143,60,652230,33.93911,67.709953
Afghanistan,2004,20.064968,10.9,44.24,0.33,0,0.56,62.92135,204.23125,1.2,1029.999971,1.414117981,211.3820742,60,652230,33.93911,67.709953
Afghanistan,2005,25.390894,12.2,33.88,0.34,0,0.59,63.440857,252.06912,1.41,1549.999952,11.22971482,242.0313132,60,652230,33.93911,67.709953
Afghanistan,2006,30.71869,13.85,31.89,0.2,0,0.64,76.190475,304.4209,1.5,1759.99999,5.357403251,263.7336019,60,652230,33.93911,67.709953
Afghanistan,2007,36.05101,15.3,28.78,0.2,0,0.75,78.94737,354.2799,1.53,1769.999981,13.82631955,359.6931579,60,652230,33.93911,67.709953
Afghanistan,2008,42.4,16.7,21.17,0.19,0,0.54,73.9726,607.8335,1.94,3559.999943,3.924983822,364.663542,60,652230,33.93911,67.709953
Afghanistan,2009,46.74005,18.4,16.53,0.16,0,0.78,82.97872,975.04816,2.25,4880.000114,21.39052839,437.2687402,60,652230,33.93911,67.709953
Afghanistan,2010,42.7,20,15.15,0.19,0,0.75,79.78723,1182.892,2.46,7110.000134,14.36244147,543.3065262,60,652230,33.93911,67.709953
