,CHG_COUNTY_NUM,CHG_CASE_NUMBER,CHG_ENTITY_NUMBER,CHG_DATE,CHG_UOR_CODE,Base_UOR_Code,ASCF_Code,CHG_DISP_DATE,CHG_DISP_TYPE_CODE,CHG_UOR_Desc,CHG_UOR_Base_Level,ASCF_Code_Desc2,CHG_DISP_TYPE_CODE_Desc,CHG_UOR_Description,CHG_County,DISP_Days,MOT_COUNTY_NUM,MOT_CASE_NUMBER,Mot_Entity_Number,Mot_Motion_Type_Code,MOT_MOTION_TYPE_CODE_DESC,MOT_County
0,1,1,1,2022-01-01,470003,47000,3,2023-03-03 17:02:24,ACQ,GENERAL DISAGREEABILITY,Misdemeanor B,Conspiracy,ACQUITTED,GENERAL DISAGREEABILITY (Misdemeanor B) – Conspiracy,Adams,426.0,1.0,1.0,1.0,MOT,MOTION - OTHER,Adams
1,1,1,1,2022-01-01,470003,47000,3,2023-03-03 17:02:24,ACQ,GENERAL DISAGREEABILITY,Misdemeanor B,Conspiracy,ACQUITTED,GENERAL DISAGREEABILITY (Misdemeanor B) – Conspiracy,Adams,426.0,1.0,1.0,2.0,MOT,MOTION - OTHER,Adams
2,1,1,1,2022-01-01,470003,47000,3,2023-03-03 17:02:24,ACQ,GENERAL DISAGREEABILITY,Misdemeanor B,Conspiracy,ACQUITTED,GENERAL DISAGREEABILITY (Misdemeanor B) – Conspiracy,Adams,426.0,1.0,1.0,3.0,MOT,MOTION - OTHER,Adams
3,1,1,1,2022-01-01,470003,47000,3,2023-03-03 17:02:24,ACQ,GENERAL DISAGREEABILITY,Misdemeanor B,Conspiracy,ACQUITTED,GENERAL DISAGREEABILITY (Misdemeanor B) – Conspiracy,Adams,426.0,1.0,1.0,4.0,CONT,MOTION FOR CONTINUANCE,Adams
4,1,1,1,2022-01-01,470003,47000,3,2023-03-03 17:02:24,ACQ,GENERAL DISAGREEABILITY,Misdemeanor B,Conspiracy,ACQUITTED,GENERAL DISAGREEABILITY (Misdemeanor B) – Conspiracy,Adams,426.0,1.0,1.0,5.0,CONT,MOTION FOR CONTINUANCE,Adams
5,1,1,1,2022-01-01,470003,47000,3,2023-03-03 17:02:24,ACQ,GENERAL DISAGREEABILITY,Misdemeanor B,Conspiracy,ACQUITTED,GENERAL DISAGREEABILITY (Misdemeanor B) – Conspiracy,Adams,426.0,1.0,1.0,6.0,CONT,MOTION FOR CONTINUANCE,Adams
6,1,1,2,2022-01-01,3470,347,0,2023-03-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,430.0,1.0,1.0,1.0,MOT,MOTION - OTHER,Adams
7,1,1,2,2022-01-01,3470,347,0,2023-03-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,430.0,1.0,1.0,2.0,MOT,MOTION - OTHER,Adams
8,1,1,2,2022-01-01,3470,347,0,2023-03-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,430.0,1.0,1.0,3.0,MOT,MOTION - OTHER,Adams
9,1,1,2,2022-01-01,3470,347,0,2023-03-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,430.0,1.0,1.0,4.0,CONT,MOTION FOR CONTINUANCE,Adams
10,1,1,2,2022-01-01,3470,347,0,2023-03-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,430.0,1.0,1.0,5.0,CONT,MOTION FOR CONTINUANCE,Adams
11,1,1,2,2022-01-01,3470,347,0,2023-03-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,430.0,1.0,1.0,6.0,CONT,MOTION FOR CONTINUANCE,Adams
12,1,1,3,2022-01-01,3470,347,0,2023-08-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,583.0,1.0,1.0,1.0,MOT,MOTION - OTHER,Adams
13,1,1,3,2022-01-01,3470,347,0,2023-08-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,583.0,1.0,1.0,2.0,MOT,MOTION - OTHER,Adams
14,1,1,3,2022-01-01,3470,347,0,2023-08-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,583.0,1.0,1.0,3.0,MOT,MOTION - OTHER,Adams
15,1,1,3,2022-01-01,3470,347,0,2023-08-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,583.0,1.0,1.0,4.0,CONT,MOTION FOR CONTINUANCE,Adams
16,1,1,3,2022-01-01,3470,347,0,2023-08-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,583.0,1.0,1.0,5.0,CONT,MOTION FOR CONTINUANCE,Adams
17,1,1,3,2022-01-01,3470,347,0,2023-08-07 14:24:00,G,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - IN MOVIE THEATRE (Felony D) – Base Charge",Adams,583.0,1.0,1.0,6.0,CONT,MOTION FOR CONTINUANCE,Adams
18,1,2,1,2022-01-03,3460,346,0,,G,"BEING OBNOXIOUS, 1ST - EARLY MORNING",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - EARLY MORNING (Felony D) – Base Charge",Adams,,1.0,2.0,1.0,MOT,MOTION - OTHER,Adams
19,1,2,1,2022-01-03,3460,346,0,,G,"BEING OBNOXIOUS, 1ST - EARLY MORNING",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - EARLY MORNING (Felony D) – Base Charge",Adams,,1.0,2.0,2.0,CONT,MOTION FOR CONTINUANCE,Adams
20,1,2,1,2022-01-03,3460,346,0,,G,"BEING OBNOXIOUS, 1ST - EARLY MORNING",Felony D,Base Charge,GUILTY,"BEING OBNOXIOUS, 1ST - EARLY MORNING (Felony D) – Base Charge",Adams,,1.0,2.0,3.0,MOT,MOTION - OTHER,Adams
21,1,2,2,2022-01-03,782200,78220,0,2022-01-28 07:12:00,DIS,IMPOLITENESS,Misdemeanor B,Base Charge,DISMISSED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,25.0,1.0,2.0,1.0,MOT,MOTION - OTHER,Adams
22,1,2,2,2022-01-03,782200,78220,0,2022-01-28 07:12:00,DIS,IMPOLITENESS,Misdemeanor B,Base Charge,DISMISSED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,25.0,1.0,2.0,2.0,CONT,MOTION FOR CONTINUANCE,Adams
23,1,2,2,2022-01-03,782200,78220,0,2022-01-28 07:12:00,DIS,IMPOLITENESS,Misdemeanor B,Base Charge,DISMISSED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,25.0,1.0,2.0,3.0,MOT,MOTION - OTHER,Adams
24,1,2,3,2022-01-03,463700,46370,0,2022-01-28 04:48:00,G,"SNEAKINESS, 3RD",Misdemeanor A,Base Charge,GUILTY,"SNEAKINESS, 3RD (Misdemeanor A) – Base Charge",Adams,25.0,1.0,2.0,1.0,MOT,MOTION - OTHER,Adams
25,1,2,3,2022-01-03,463700,46370,0,2022-01-28 04:48:00,G,"SNEAKINESS, 3RD",Misdemeanor A,Base Charge,GUILTY,"SNEAKINESS, 3RD (Misdemeanor A) – Base Charge",Adams,25.0,1.0,2.0,2.0,CONT,MOTION FOR CONTINUANCE,Adams
26,1,2,3,2022-01-03,463700,46370,0,2022-01-28 04:48:00,G,"SNEAKINESS, 3RD",Misdemeanor A,Base Charge,GUILTY,"SNEAKINESS, 3RD (Misdemeanor A) – Base Charge",Adams,25.0,1.0,2.0,3.0,MOT,MOTION - OTHER,Adams
27,1,3,1,2022-01-07,782200,78220,0,2022-01-31 04:19:12,ACQ,IMPOLITENESS,Misdemeanor B,Base Charge,ACQUITTED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,24.0,1.0,3.0,1.0,SUB,MOTION TO SUBMIT,Adams
28,1,3,1,2022-01-07,782200,78220,0,2022-01-31 04:19:12,ACQ,IMPOLITENESS,Misdemeanor B,Base Charge,ACQUITTED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,24.0,1.0,3.0,4.0,REVI,MOTION FOR REVIEW,Adams
29,1,3,1,2022-01-07,782200,78220,0,2022-01-31 04:19:12,ACQ,IMPOLITENESS,Misdemeanor B,Base Charge,ACQUITTED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,24.0,1.0,3.0,6.0,RULE,MOTION FOR RULE,Adams
30,1,3,1,2022-01-07,782200,78220,0,2022-01-31 04:19:12,ACQ,IMPOLITENESS,Misdemeanor B,Base Charge,ACQUITTED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,24.0,1.0,3.0,2.0,SC,MOTION FOR SHOW CAUSE,Adams
31,1,3,1,2022-01-07,782200,78220,0,2022-01-31 04:19:12,ACQ,IMPOLITENESS,Misdemeanor B,Base Charge,ACQUITTED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,24.0,1.0,3.0,3.0,SC,MOTION FOR SHOW CAUSE,Adams
32,1,3,1,2022-01-07,782200,78220,0,2022-01-31 04:19:12,ACQ,IMPOLITENESS,Misdemeanor B,Base Charge,ACQUITTED,IMPOLITENESS (Misdemeanor B) – Base Charge,Adams,24.0,1.0,3.0,5.0,SC,MOTION FOR SHOW CAUSE,Adams
33,1,3,2,2022-01-07,3400,340,0,2022-01-30 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,23.0,1.0,3.0,1.0,SUB,MOTION TO SUBMIT,Adams
34,1,3,2,2022-01-07,3400,340,0,2022-01-30 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,23.0,1.0,3.0,4.0,REVI,MOTION FOR REVIEW,Adams
35,1,3,2,2022-01-07,3400,340,0,2022-01-30 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,23.0,1.0,3.0,6.0,RULE,MOTION FOR RULE,Adams
36,1,3,2,2022-01-07,3400,340,0,2022-01-30 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,23.0,1.0,3.0,2.0,SC,MOTION FOR SHOW CAUSE,Adams
37,1,3,2,2022-01-07,3400,340,0,2022-01-30 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,23.0,1.0,3.0,3.0,SC,MOTION FOR SHOW CAUSE,Adams
38,1,3,2,2022-01-07,3400,340,0,2022-01-30 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,23.0,1.0,3.0,5.0,SC,MOTION FOR SHOW CAUSE,Adams
39,1,3,3,2022-01-07,3400,340,0,2022-02-01 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,25.0,1.0,3.0,1.0,SUB,MOTION TO SUBMIT,Adams
40,1,3,3,2022-01-07,3400,340,0,2022-02-01 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,25.0,1.0,3.0,4.0,REVI,MOTION FOR REVIEW,Adams
41,1,3,3,2022-01-07,3400,340,0,2022-02-01 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,25.0,1.0,3.0,6.0,RULE,MOTION FOR RULE,Adams
42,1,3,3,2022-01-07,3400,340,0,2022-02-01 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,25.0,1.0,3.0,2.0,SC,MOTION FOR SHOW CAUSE,Adams
43,1,3,3,2022-01-07,3400,340,0,2022-02-01 04:04:48,DIS,"BEING OBNOXIOUS, 2ND DEG",Misdemeanor A,Base Charge,DISMISSED,"BEING OBNOXIOUS, 2ND DEG (Misdemeanor A) – Base Charge",Adams,25.0,1.0,3.0,3.0,SC,MOTION FOR SHOW CAUSE,Adams
